firm,title,location,geo,daysAgo,effectiveDate,dateSource,datePosted,firstSeen,ats,url
Perkins & Will,Designer III,Charlotte,us,0,2026-06-30,posted,2026-06-30T11:12:43.278Z,2026-06-30,ultipro,https://recruiting2.ultipro.com/PER1007PWILL/JobBoard/0ca393a4-bf82-4db6-acae-91e6a0315a4a/OpportunityDetail?opportunityId=d73a4ebc-252f-488f-a331-e99997b072d3
AECOM,Architecture Discipline Lead,"New York, NY, us",us,0,2026-06-30,posted,2026-06-30T12:12:05.278Z,2026-06-30,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134998803
CetraRuddy Architecture,A3 | Architectural Staff,"New York, New York",us,0,2026-06-30,firstSeen,,2026-06-30,bamboohr,https://cetraruddy.bamboohr.com/careers/37
CetraRuddy Architecture,A5 | Project Architect,"New York, New York",us,0,2026-06-30,firstSeen,,2026-06-30,bamboohr,https://cetraruddy.bamboohr.com/careers/53
CetraRuddy Architecture,A5 | Architecture Project Manager,"New York, New York",us,0,2026-06-30,firstSeen,,2026-06-30,bamboohr,https://cetraruddy.bamboohr.com/careers/54
CetraRuddy Architecture,I3 | Interior Designer,"New York, New York",us,0,2026-06-30,firstSeen,,2026-06-30,bamboohr,https://cetraruddy.bamboohr.com/careers/56
CetraRuddy Architecture,I4 | Interior Designer,"New York, New York",us,0,2026-06-30,firstSeen,,2026-06-30,bamboohr,https://cetraruddy.bamboohr.com/careers/57
Gensler,Architect- Workplace - Hospitality - Mixed Use,"Tampa, FL, US",us,1,2026-06-29,posted,Posted Yesterday,2026-06-30,workday,https://gensler.wd1.myworkdayjobs.com/job/Tampa-FL-US/Architect--Workplace---Hospitality---Mixed-Use_R-17864
Gensler,Technical Designer - Junior,"Washington, DC, US",us,1,2026-06-29,posted,Posted Yesterday,2026-06-30,workday,https://gensler.wd1.myworkdayjobs.com/job/Washington-DC-US/Technical-Designer---Junior_R-17433
Gensler,Project Architect,"Washington, DC, US",us,1,2026-06-29,posted,Posted Yesterday,2026-06-30,workday,https://gensler.wd1.myworkdayjobs.com/job/Washington-DC-US/Project-Architect_R-17970
Gensler,Designer - Interiors - Mid-Senior Level,"Columbus, OH, US",us,1,2026-06-29,posted,Posted Yesterday,2026-06-30,workday,https://gensler.wd1.myworkdayjobs.com/job/Columbus-OH-US/Designer---Healthcare-Interiors---Mid-Level_R-17463
Perkins & Will,Designer III,Houston,us,1,2026-06-29,posted,2026-06-29T16:39:22.177Z,2026-06-30,ultipro,https://recruiting2.ultipro.com/PER1007PWILL/JobBoard/0ca393a4-bf82-4db6-acae-91e6a0315a4a/OpportunityDetail?opportunityId=e00b123f-413f-45df-88fd-2ea612d58ff1
Stantec,Architectural Designer,"Charlottesville, VA, United States",us,1,2026-06-29,posted,2026-06-29,2026-06-30,oracle-cloud,https://hdhl.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1006499
AECOM,Senior Project Manager- Architecture/Engineering,"Los Angeles, CA, us",us,1,2026-06-29,posted,2026-06-29T20:34:26.197Z,2026-06-30,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134875854
AECOM,Architectural Project Manager- Sports Venues,"Dallas, TX, us",us,1,2026-06-29,posted,2026-06-29T20:25:35.894Z,2026-06-30,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134875689
AECOM,Architectural Project Manager- Sports Venues,"Los Angeles, CA, us",us,1,2026-06-29,posted,2026-06-29T20:25:13.035Z,2026-06-30,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134875639
AECOM,Architectural Project Manager- Sports Venues,"Kansas City, MO, us",us,1,2026-06-29,posted,2026-06-29T19:55:47.498Z,2026-06-30,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134871144
AECOM,Senior Interior Designer,"Chicago, IL, us",us,1,2026-06-29,posted,2026-06-29T19:10:35.919Z,2026-06-30,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134864549
Gensler,Technical Designer - Mid Level,"Boston, MA, US",us,3,2026-06-27,posted,Posted 3 Days Ago,2026-06-30,workday,https://gensler.wd1.myworkdayjobs.com/job/Boston-MA-US/Technical-Designer---Mid-Level_R-17958
Gensler,Technical Designer - Junior,"Seattle, WA, US",us,4,2026-06-26,posted,Posted 4 Days Ago,2026-06-30,workday,https://gensler.wd1.myworkdayjobs.com/job/Seattle-WA-US/Technical-Designer---Critical-Facilities---Junior_R-16759
Gensler,Technical Designer - Junior,"San Jose, CA, US",us,4,2026-06-26,posted,Posted 4 Days Ago,2026-06-30,workday,https://gensler.wd1.myworkdayjobs.com/job/San-Jose-CA-US/Technical-Designer---Junior_R-17968
Gensler,Project Architect,"Detroit, MI, US",us,4,2026-06-26,posted,Posted 4 Days Ago,2026-06-30,workday,https://gensler.wd1.myworkdayjobs.com/job/Detroit-MI-US/Project-Architect---Senior_R-15374
Gensler,Technical Designer - Cities - Mid Level,"Austin, TX, US",us,4,2026-06-26,posted,Posted 4 Days Ago,2026-06-30,workday,https://gensler.wd1.myworkdayjobs.com/job/Austin-TX-US/Technical-Designer---Cities---Mid-Level_R-17959
WSP USA,Civil & Earthworks Junior Designer,"Reno, NV, United States",us,4,2026-06-26,posted,2026-06-26,2026-06-30,oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/89883
WATG,Designer - Interiors,New York,us,4,2026-06-26,posted,2026-06-26T18:27:53.28Z,2026-06-30,ultipro,https://recruiting2.ultipro.com/WAT1003WATG/JobBoard/40a8f4fc-f7d8-4099-97da-169f37ab8e95/OpportunityDetail?opportunityId=8819573c-4ddf-4f74-9d32-63c615e1bfd3
WATG,Sustainability Designer II,Los Angeles,us,4,2026-06-26,posted,2026-06-26T13:10:15.58Z,2026-06-30,ultipro,https://recruiting2.ultipro.com/WAT1003WATG/JobBoard/40a8f4fc-f7d8-4099-97da-169f37ab8e95/OpportunityDetail?opportunityId=46f12284-1c59-4e83-8b8f-23962ba7757b
Gensler,Technical Designer - Retail & Hospitality - Mid Level,"Oakland, CA, US",us,5,2026-06-25,posted,Posted 5 Days Ago,2026-06-30,workday,https://gensler.wd1.myworkdayjobs.com/job/Oakland-CA-US/Technical-Designer---Lifestyle_R-17735
Perkins & Will,Senior Interior Designer,Durham,us,5,2026-06-25,posted,2026-06-25T17:26:23.657Z,2026-06-30,ultipro,https://recruiting2.ultipro.com/PER1007PWILL/JobBoard/0ca393a4-bf82-4db6-acae-91e6a0315a4a/OpportunityDetail?opportunityId=3f7ffad3-d783-4600-b140-42d536f4d320
Stantec,Architectural Designer,"Pittsburgh, PA, United States",us,5,2026-06-25,posted,2026-06-25,2026-06-30,oracle-cloud,https://hdhl.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1006358
Stantec,"Entry Level Designer/Mechanical EIT - San Francisco, CA","San Francisco, CA, United States",us,5,2026-06-25,posted,2026-06-25,2026-06-30,oracle-cloud,https://hdhl.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1006452
AECOM,Senior CADD/BrIM Technician/Designer - Bridge Design,"Omaha, NE, us",us,5,2026-06-25,posted,2026-06-25T12:27:47.248Z,2026-06-30,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134254559
WSP USA,Telecommunications Designer,"Herndon, VA, United States",us,5,2026-06-25,posted,2026-06-25,2026-06-30,oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/89871
Gensler,Architect - Workplace Interiors - Senior,"Houston, TX, US",us,6,2026-06-24,posted,Posted 6 Days Ago,2026-06-30,workday,https://gensler.wd1.myworkdayjobs.com/job/Houston-TX-US/Architect---Workplace-Interiors---Senior_R-17940-1
Stantec,Interior Designer - Buildings Government Services,"Arlington, VA, United States",us,6,2026-06-24,posted,2026-06-24,2026-06-30,oracle-cloud,https://hdhl.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1006444
AECOM,"Control System Designer, Data Centers - Remote (U.S.)","Arlington, VA, us",us,6,2026-06-24,posted,2026-06-24T12:48:49.266Z,2026-06-30,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000133940220
WSP USA,Packaging & Material Handling System Designer,"Meridian, ID, United States",us,6,2026-06-24,posted,2026-06-24,2026-06-30,oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/89236
WATG,Intermediate Designer,Los Angeles,us,6,2026-06-24,posted,2026-06-24T17:35:10.345Z,2026-06-30,ultipro,https://recruiting2.ultipro.com/WAT1003WATG/JobBoard/40a8f4fc-f7d8-4099-97da-169f37ab8e95/OpportunityDetail?opportunityId=b70556f0-1366-4279-8a20-e6b60c4bc95b
Gensler,Designer - Retail & Hospitality - Mid Level,"Oakland, CA, US",us,7,2026-06-23,posted,Posted 7 Days Ago,2026-06-30,workday,https://gensler.wd1.myworkdayjobs.com/job/Oakland-CA-US/Designer---Lifestyle--Retail---Hospitality----Mid-Level_R-17800
Gensler,Designer - Retail & Hospitality - Senior,"Oakland, CA, US",us,7,2026-06-23,posted,Posted 7 Days Ago,2026-06-30,workday,https://gensler.wd1.myworkdayjobs.com/job/Oakland-CA-US/Designer---Lifestyle--Retail---Hospitality----Senior_R-17801
Gensler,Project Architect - Retail & Hospitality - Senior,"Oakland, CA, US",us,7,2026-06-23,posted,Posted 7 Days Ago,2026-06-30,workday,https://gensler.wd1.myworkdayjobs.com/job/Oakland-CA-US/Project-Architect---Retail_R-17207
Gensler,Technical Designer – Junior,"Atlanta, GA, US",us,7,2026-06-23,posted,Posted 7 Days Ago,2026-06-30,workday,https://gensler.wd1.myworkdayjobs.com/job/Atlanta-GA-US/Technical-Designer---Junior_R-17185
Gensler,Architect - Senior,"Raleigh, NC, US",us,7,2026-06-23,posted,Posted 7 Days Ago,2026-06-30,workday,https://gensler.wd1.myworkdayjobs.com/job/Raleigh-NC-US/Architect---Senior_R-17441
Gensler,Project Architect –  Mid Level,"Newport Beach, CA, US",us,7,2026-06-23,posted,Posted 7 Days Ago,2026-06-30,workday,https://gensler.wd1.myworkdayjobs.com/job/Newport-Beach-CA-US/Project-Architect---Work---Mid-Level_R-17855
Gensler,Architect - Critical Facilities - Mid Level,"Kansas City, MO, US",us,7,2026-06-23,posted,Posted 7 Days Ago,2026-06-30,workday,https://gensler.wd1.myworkdayjobs.com/job/Kansas-City-MO-US/Architect---Critical-Facilities---Mid-Level_R-17942
Gensler,Architect - Mid Level,"San Antonio, TX, US",us,7,2026-06-23,posted,Posted 7 Days Ago,2026-06-30,workday,https://gensler.wd1.myworkdayjobs.com/job/San-Antonio-TX-US/Architect---Mid-Level_R-17945
Gensler,Interior Designer - Mid Level,"San Antonio, TX, US",us,7,2026-06-23,posted,Posted 7 Days Ago,2026-06-30,workday,https://gensler.wd1.myworkdayjobs.com/job/San-Antonio-TX-US/Interior-Designer---Mid-Level_R-17944
Gensler,Designer - Architecture - Senior,"Nashville, TN, US",us,7,2026-06-23,posted,Posted 7 Days Ago,2026-06-30,workday,https://gensler.wd1.myworkdayjobs.com/job/Nashville-TN-US/Designer---Architecture---Senior_R-17946
