firm,title,fitScore,recency,postedDate,datePosted,location,ats,url
Stantec,Architectural Designer,10,recent,2026-06-29,2026-06-29,"Charlottesville, VA, United States",oracle-cloud,https://hdhl.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1006499
WSP USA,Civil & Earthworks Junior Designer,10,recent,2026-06-26,2026-06-26,"Reno, NV, United States",oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/89883
Gensler,Architectural Designer (m/f/d),10,recent,2026-06-25,Posted 5 Days Ago,"Munich, Germany",workday,https://gensler.wd1.myworkdayjobs.com/job/Munich-Germany/Architectural-Designer--m-f-d-_R-17954
Stantec,Architectural Designer,10,recent,2026-06-25,2026-06-25,"Pittsburgh, PA, United States",oracle-cloud,https://hdhl.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1006358
Stantec,"Entry Level Designer/Mechanical EIT - San Francisco, CA",10,recent,2026-06-25,2026-06-25,"San Francisco, CA, United States",oracle-cloud,https://hdhl.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1006452
Perkins Eastman,Designer I,10,unknown,,,,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3747438&req_loc=1371552&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Perkins Eastman,Designer I,10,unknown,,,,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3748437&req_loc=1373088&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Perkins Eastman,Designer I,10,unknown,,,,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3742259&req_loc=1364097&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Handel Architects,Architectural Designer,10,unknown,,,,custom,https://handelarchitects.hua.hrsmart.com/hr/ats/Posting/view/54
Cannon Design,"Architect - Entry Level Mumbai, Maharashtra, India",10,unknown,,,,custom,https://www.cannondesign.com/careers/architect-entry-level-2
NBBJ,"Architectural Designer Charlotte, North Carolina",10,unknown,,,,jobvite,https://jobs.jobvite.com/nbbj/job/oeo6wfwY
NBBJ,"Intermediate Architectural Designer - Healthcare Practice Seattle, Washington",10,unknown,,,,jobvite,https://jobs.jobvite.com/nbbj/job/od4aAfwL
Zimmer Gunsul Frasca (ZGF),Entry-Level Architect,10,unknown,,,,custom,https://www.zgf.com/careers/p2CQ0zmZHr-entry-level-architect
EwingCole,Lighting Designer I,10,unknown,,,,paylocity,https://recruiting.paylocity.com/Recruiting/Jobs/Details/4132901
HKS Architects,Job Captain - Mission Critical,9,recent,2026-06-23,Posted 7 Days Ago,Atlanta,workday,https://hksinc.wd501.myworkdayjobs.com/job/Atlanta/Job-Captain---Mission-Critical_2026-03561
AECOM,Architect/Intern Architect,9,recent,2026-06-23,2026-06-23T12:02:44.339Z,"Burnaby, BC, ca",smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000133578029
AECOM,Structural BIM Specialist,8,recent,2026-06-30,2026-06-30T06:47:43.343Z,"Bukit Damansara, my",smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134938159
Perkins & Will,Intermediate Interior Designer,8,recent,2026-06-28,2026-06-28T23:05:57.59Z,London,ultipro,https://recruiting2.ultipro.com/PER1007PWILL/JobBoard/0ca393a4-bf82-4db6-acae-91e6a0315a4a/OpportunityDetail?opportunityId=e7ff1d8a-73ec-4714-afbe-d96e36226ab9
AECOM,BIM Coordinator - Digital (Data Centers),8,recent,2026-06-26,2026-06-26T15:49:54.737Z,"Bogota, COLOMBIA, co",smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134509289
AECOM,BIM Coordinator - Digital (Data Centers),8,recent,2026-06-26,2026-06-26T15:44:16.201Z,"Bogota, COLOMBIA, co",smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134507779
WATG,Sustainability Designer II,8,recent,2026-06-26,2026-06-26T13:10:15.58Z,Los Angeles,ultipro,https://recruiting2.ultipro.com/WAT1003WATG/JobBoard/40a8f4fc-f7d8-4099-97da-169f37ab8e95/OpportunityDetail?opportunityId=46f12284-1c59-4e83-8b8f-23962ba7757b
WSP USA,BIM Technician Process Mechanical,8,recent,2026-06-25,2026-06-25,"Bengaluru, Karnataka, India",oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/89756
Stantec,Interior Designer - Buildings Government Services,8,recent,2026-06-24,2026-06-24,"Arlington, VA, United States",oracle-cloud,https://hdhl.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1006444
Gensler,Interior Designer - Mid Level,8,recent,2026-06-23,Posted 7 Days Ago,"San Antonio, TX, US",workday,https://gensler.wd1.myworkdayjobs.com/job/San-Antonio-TX-US/Interior-Designer---Mid-Level_R-17944
Stantec,Mechanical Project Designer,8,recent,2026-06-23,2026-06-23,"Chicago, IL, United States",oracle-cloud,https://hdhl.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1006420
HOK,Interiors - Interior Designer,8,unknown,,,,dayforce,https://jobs.dayforcehcm.com/en-US/hok/CANDIDATEPORTAL/jobs/3565
Perkins Eastman,Project Designer/Project Manager Workplace and Commercial Interiors,8,unknown,,,,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3365037&req_loc=696741&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Perkins Eastman,Interior Designer,8,unknown,,,,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3725206&req_loc=1354916&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Perkins Eastman,Interior Designer - Residential Practice Area,8,unknown,,,,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3628798&req_loc=1211756&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Handel Architects,Interior Designer,8,unknown,,,,custom,https://handelarchitects.hua.hrsmart.com/hr/ats/Posting/view/38
CetraRuddy Architecture,I3 | Interior Designer,8,unknown,,,"New York, New York",bamboohr,https://cetraruddy.bamboohr.com/careers/56
CetraRuddy Architecture,I4 | Interior Designer,8,unknown,,,"New York, New York",bamboohr,https://cetraruddy.bamboohr.com/careers/57
LMN Architects,Interior Designer,8,unknown,,,,custom,https://lmnarchitects.com/careers#op-698219-interior-designer
NBBJ,"Intermediate Interior Designer Charlotte, North Carolina",8,unknown,,,,jobvite,https://jobs.jobvite.com/nbbj/job/oQqkAfwU
NBBJ,"Intermediate Interior Designer Boston, Massachusetts",8,unknown,,,,jobvite,https://jobs.jobvite.com/nbbj/job/opFTqfw7
NBBJ,"Intermediate Interior Designer New York, New York",8,unknown,,,,jobvite,https://jobs.jobvite.com/nbbj/job/o5N0zfwb
NBBJ,"Intermediate Interior Designer Seattle, Washington",8,unknown,,,,jobvite,https://jobs.jobvite.com/nbbj/job/okutvfww
Zimmer Gunsul Frasca (ZGF),Mid-Level Interior Designer,8,unknown,,,,custom,https://www.zgf.com/careers/0UFKnaO40n-mid-level-interior-designer
Gensler,Technical Designer,6,recent,2026-06-30,Posted Today,"Atlanta, GA, US",workday,https://gensler.wd1.myworkdayjobs.com/job/Atlanta-GA-US/Technical-Designer_R-17184
AECOM,Deputy Designer - BIM Bridges,6,recent,2026-06-30,2026-06-30T06:12:11.963Z,"Bengaluru, KA, in",smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134934074
WSP USA,BIM Modeler - Digital Innovation,6,recent,2026-06-30,2026-06-30,"Noida, Uttar Pradesh, India",oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/89991
WSP USA,Architect - Design,6,recent,2026-06-30,2026-06-30,"Bengaluru, Karnataka, India",oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/90003
WSP USA,Facade Designer,6,recent,2026-06-30,2026-06-30,"Bengaluru, Karnataka, India",oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/90009
Gensler,Architect- Workplace - Hospitality - Mixed Use,6,recent,2026-06-29,Posted Yesterday,"Tampa, FL, US",workday,https://gensler.wd1.myworkdayjobs.com/job/Tampa-FL-US/Architect--Workplace---Hospitality---Mixed-Use_R-17864
Gensler,Technical Designer - Junior,6,recent,2026-06-29,Posted Yesterday,"Washington, DC, US",workday,https://gensler.wd1.myworkdayjobs.com/job/Washington-DC-US/Technical-Designer---Junior_R-17433
Gensler,Project Architect,6,recent,2026-06-29,Posted Yesterday,"Washington, DC, US",workday,https://gensler.wd1.myworkdayjobs.com/job/Washington-DC-US/Project-Architect_R-17970
Perkins & Will,BIM Manager,6,recent,2026-06-29,2026-06-29T20:03:08.554Z,Toronto,ultipro,https://recruiting2.ultipro.com/PER1007PWILL/JobBoard/0ca393a4-bf82-4db6-acae-91e6a0315a4a/OpportunityDetail?opportunityId=d38dbb9c-6e49-4568-a1f8-0c5344393a17
AECOM,BIM & Digital Specialist,6,recent,2026-06-29,2026-06-29T13:54:41.609Z,"Madrid, es",smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134802749
AECOM,Coordinador/a BIM MEP,6,recent,2026-06-29,2026-06-29T11:22:53.450Z,"Barcelona, es",smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134764360
AECOM,BIM Manager - Nuclear,6,recent,2026-06-29,2026-06-29T09:45:08.653Z,"Warrington, gb",smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134744069
AECOM,BIM Manager - Energy,6,recent,2026-06-29,2026-06-29T09:44:37.776Z,"Glasgow, gb",smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134743959
AECOM,BIM Manager - Energy,6,recent,2026-06-29,2026-06-29T09:44:14.467Z,"Edinburgh, gb",smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134742575
AECOM,BIM Manager,6,recent,2026-06-29,2026-06-29T09:26:49.411Z,"Riyadh, SA, sa",smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134739769
AECOM,Chief BIM Modeller - Highways,6,recent,2026-06-29,2026-06-29T08:39:29.705Z,"Centurion, 263A WEST AVENUE, za",smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134728599
AECOM,Deputy Designer - BIM Electrical,6,recent,2026-06-29,2026-06-29T07:42:31.480Z,"Gurugram, HARYANA, in",smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134714267
AECOM,Assistant Landscape Architect - Architecture,6,recent,2026-06-29,2026-06-29T06:36:11.157Z,"Gurugram, HARYANA, in",smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134703690
AECOM,"Project BIM Modeler, M&E",6,recent,2026-06-29,2026-06-29T02:13:42.317Z,"Bukit Damansara, my",smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134683821
Goody Clancy,Designer—Level 3 - Goody Clancy,6,recent,2026-06-29,2026-06-29T15:04:29+00:00,,custom,https://www.goodyclancy.com/career/designer-level-3/
WSP USA,"Engineering Drafter/Designer, Nuclear",6,recent,2026-06-29,2026-06-29,"Toronto, ON, Canada",oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/89697
WSP USA,"Early Professional, Transmission Line Engineer/Designer",6,recent,2026-06-29,2026-06-29,"Edmonton, AB, Canada",oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/90088
Gensler,Technical Designer - Mid Level,6,recent,2026-06-27,Posted 3 Days Ago,"Boston, MA, US",workday,https://gensler.wd1.myworkdayjobs.com/job/Boston-MA-US/Technical-Designer---Mid-Level_R-17958
Gensler,Technical Designer - Junior,6,recent,2026-06-26,Posted 4 Days Ago,"Seattle, WA, US",workday,https://gensler.wd1.myworkdayjobs.com/job/Seattle-WA-US/Technical-Designer---Critical-Facilities---Junior_R-16759
Gensler,Technical Designer - Junior,6,recent,2026-06-26,Posted 4 Days Ago,"San Jose, CA, US",workday,https://gensler.wd1.myworkdayjobs.com/job/San-Jose-CA-US/Technical-Designer---Junior_R-17968
Gensler,Project Architect,6,recent,2026-06-26,Posted 4 Days Ago,"Detroit, MI, US",workday,https://gensler.wd1.myworkdayjobs.com/job/Detroit-MI-US/Project-Architect---Senior_R-15374
Gensler,Technical Designer - Cities - Mid Level,6,recent,2026-06-26,Posted 4 Days Ago,"Austin, TX, US",workday,https://gensler.wd1.myworkdayjobs.com/job/Austin-TX-US/Technical-Designer---Cities---Mid-Level_R-17959
AECOM,BIM Modeling Mechanical (Data Center),6,recent,2026-06-26,2026-06-26T10:39:24.059Z,"Bucharest, 11-15 TIPOGRAFILOR S, ro",smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134444339
AECOM,Design Engineer - Building Architect,6,recent,2026-06-26,2026-06-26T07:57:23.303Z,"Dubai, UAE, ae",smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134414680
AECOM,Graduate - Landscape Architect,6,recent,2026-06-26,2026-06-26T07:14:15.378Z,"Dubai, UAE, ae",smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134407599
WSP USA,Team Leader - BIM,6,recent,2026-06-26,2026-06-26,"Bengaluru, Karnataka, India",oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/89647
WATG,Designer - Interiors,6,recent,2026-06-26,2026-06-26T18:27:53.28Z,New York,ultipro,https://recruiting2.ultipro.com/WAT1003WATG/JobBoard/40a8f4fc-f7d8-4099-97da-169f37ab8e95/OpportunityDetail?opportunityId=8819573c-4ddf-4f74-9d32-63c615e1bfd3
Gensler,Technical Designer - Retail & Hospitality - Mid Level,6,recent,2026-06-25,Posted 5 Days Ago,"Oakland, CA, US",workday,https://gensler.wd1.myworkdayjobs.com/job/Oakland-CA-US/Technical-Designer---Lifestyle_R-17735
Gensler,Architect - Junior,6,recent,2026-06-25,Posted 5 Days Ago,"Santo Domingo, Dominican Republic",workday,https://gensler.wd1.myworkdayjobs.com/job/Santo-Domingo-Dominican-Republic/Architect---Junior_R-17961
Gensler,Architect - Interior Architecture,6,recent,2026-06-25,Posted 5 Days Ago,"Santo Domingo, Dominican Republic",workday,https://gensler.wd1.myworkdayjobs.com/job/Santo-Domingo-Dominican-Republic/Architect---Interior-Architecture_R-17929
Gensler,BIM Modelers – Critical Facilities,6,recent,2026-06-25,Posted 5 Days Ago,"Sydney, Australia",workday,https://gensler.wd1.myworkdayjobs.com/job/Sydney-Australia/BIM-Modelers---Critical-Facilities_R-17920
