firm,title,fitScoreFull,postedDateResolved,daysAgo,postedDateSource,locationResolved,locationSource,workType,descriptionChars,enrichStatus,ats,url
Stantec,Architectural Designer,10,2026-06-29,1,source,"Charlottesville, VA, United States",seed,,990,ok,oracle-cloud,https://hdhl.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1006499
WSP USA,Civil & Earthworks Junior Designer,10,2026-06-26,4,source,"Reno, NV, United States",seed,,996,ok,oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/89883
WATG,Sustainability Designer II,10,2026-06-26,4,source,Los Angeles,seed,,15000,ok,ultipro,https://recruiting2.ultipro.com/WAT1003WATG/JobBoard/40a8f4fc-f7d8-4099-97da-169f37ab8e95/OpportunityDetail?opportunityId=46f12284-1c59-4e83-8b8f-23962ba7757b
Gensler,Architectural Designer (m/f/d),10,2026-06-25,5,source,"Munich, Germany",seed,,379,ok,workday,https://gensler.wd1.myworkdayjobs.com/job/Munich-Germany/Architectural-Designer--m-f-d-_R-17954
Stantec,Architectural Designer,10,2026-06-25,5,source,"Pittsburgh, PA, United States",seed,,990,ok,oracle-cloud,https://hdhl.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1006358
Stantec,"Entry Level Designer/Mechanical EIT - San Francisco, CA",10,2026-06-25,5,source,"San Francisco, CA, United States",seed,,994,ok,oracle-cloud,https://hdhl.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1006452
Perkins Eastman,Designer I,10,,,none,,none,HYBRID,5036,ok,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3747438&req_loc=1371552&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Perkins Eastman,Designer I,10,,,none,,none,HYBRID,4978,ok,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3748437&req_loc=1373088&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Perkins Eastman,Designer I,10,,,none,,none,HYBRID,5079,ok,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3742259&req_loc=1364097&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Handel Architects,Architectural Designer,10,,,none,,none,REMOTE,10545,ok,custom,https://handelarchitects.hua.hrsmart.com/hr/ats/Posting/view/54
Zimmer Gunsul Frasca (ZGF),Entry-Level Architect,10,,,none,,none,,3265,ok,custom,https://www.zgf.com/careers/p2CQ0zmZHr-entry-level-architect
Perkins Eastman,Project Designer/Project Manager Workplace and Commercial Interiors,10,,,none,,none,HYBRID,5003,ok,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3365037&req_loc=696741&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Perkins Eastman,Interior Designer,10,,,none,,none,REMOTE,3809,ok,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3725206&req_loc=1354916&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Perkins Eastman,Interior Designer - Residential Practice Area,10,,,none,,none,HYBRID,4209,ok,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3628798&req_loc=1211756&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Handel Architects,Interior Designer,10,,,none,,none,REMOTE,10991,ok,custom,https://handelarchitects.hua.hrsmart.com/hr/ats/Posting/view/38
Zimmer Gunsul Frasca (ZGF),Mid-Level Interior Designer,10,,,none,,none,,4213,ok,custom,https://www.zgf.com/careers/0UFKnaO40n-mid-level-interior-designer
Perkins & Will,Intermediate Interior Designer,9,2026-06-28,2,source,London,seed,ONSITE,15000,ok,ultipro,https://recruiting2.ultipro.com/PER1007PWILL/JobBoard/0ca393a4-bf82-4db6-acae-91e6a0315a4a/OpportunityDetail?opportunityId=e7ff1d8a-73ec-4714-afbe-d96e36226ab9
HKS Architects,Job Captain - Mission Critical,9,2026-06-23,7,source,Atlanta,seed,,379,ok,workday,https://hksinc.wd501.myworkdayjobs.com/job/Atlanta/Job-Captain---Mission-Critical_2026-03561
AECOM,Architect/Intern Architect,9,2026-06-23,7,source,"Burnaby, BC, ca",seed,,0,ok,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000133578029
AECOM,Structural BIM Specialist,8,2026-06-30,0,source,"Bukit Damansara, my",seed,,0,ok,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134938159
Perkins & Will,BIM Manager,8,2026-06-29,1,source,Toronto,seed,,15000,ok,ultipro,https://recruiting2.ultipro.com/PER1007PWILL/JobBoard/0ca393a4-bf82-4db6-acae-91e6a0315a4a/OpportunityDetail?opportunityId=d38dbb9c-6e49-4568-a1f8-0c5344393a17
Goody Clancy,Designer—Level 3 - Goody Clancy,8,2026-06-29,1,source,,none,HYBRID,4174,ok,custom,https://www.goodyclancy.com/career/designer-level-3/
EwingCole,Project Architect,8,2026-06-29,1,jsonld,"Philadelphia, PA, US",jsonld,HYBRID,4723,ok,paylocity,https://recruiting.paylocity.com/Recruiting/Jobs/Details/4289803
AECOM,BIM Coordinator - Digital (Data Centers),8,2026-06-26,4,source,"Bogota, COLOMBIA, co",seed,,0,ok,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134509289
AECOM,BIM Coordinator - Digital (Data Centers),8,2026-06-26,4,source,"Bogota, COLOMBIA, co",seed,,0,ok,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134507779
WATG,Designer - Interiors,8,2026-06-26,4,source,New York,seed,,15000,ok,ultipro,https://recruiting2.ultipro.com/WAT1003WATG/JobBoard/40a8f4fc-f7d8-4099-97da-169f37ab8e95/OpportunityDetail?opportunityId=8819573c-4ddf-4f74-9d32-63c615e1bfd3
EwingCole,Quality Assurance Architect,8,2026-06-26,4,jsonld,"Philadelphia, PA, US",jsonld,HYBRID,2821,ok,paylocity,https://recruiting.paylocity.com/Recruiting/Jobs/Details/4285976
