firm,title,fitScoreFull,geo,postedDateResolved,daysAgo,locationResolved,workType,ats,url
Gensler,Architectural Designer (m/f/d),10,foreign,2026-06-25,5,"Munich, Germany",,workday,https://gensler.wd1.myworkdayjobs.com/job/Munich-Germany/Architectural-Designer--m-f-d-_R-17954
Perkins & Will,Intermediate Interior Designer,9,foreign,2026-06-28,2,London,ONSITE,ultipro,https://recruiting2.ultipro.com/PER1007PWILL/JobBoard/0ca393a4-bf82-4db6-acae-91e6a0315a4a/OpportunityDetail?opportunityId=e7ff1d8a-73ec-4714-afbe-d96e36226ab9
AECOM,Architect/Intern Architect,9,foreign,2026-06-23,7,"Burnaby, BC, ca",,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000133578029
AECOM,Structural BIM Specialist,8,foreign,2026-06-30,0,"Bukit Damansara, my",,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134938159
Perkins & Will,BIM Manager,8,foreign,2026-06-29,1,Toronto,,ultipro,https://recruiting2.ultipro.com/PER1007PWILL/JobBoard/0ca393a4-bf82-4db6-acae-91e6a0315a4a/OpportunityDetail?opportunityId=d38dbb9c-6e49-4568-a1f8-0c5344393a17
AECOM,BIM Coordinator - Digital (Data Centers),8,foreign,2026-06-26,4,"Bogota, COLOMBIA, co",,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134509289
AECOM,BIM Coordinator - Digital (Data Centers),8,foreign,2026-06-26,4,"Bogota, COLOMBIA, co",,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134507779
WSP USA,BIM Technician Process Mechanical,8,foreign,2026-06-25,5,"Bengaluru, Karnataka, India",,oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/89756
WSP USA,Facade Designer,7,foreign,2026-06-30,0,"Bengaluru, Karnataka, India",,oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/90009
AECOM,Deputy Designer - BIM Bridges,6,foreign,2026-06-30,0,"Bengaluru, KA, in",,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134934074
WSP USA,BIM Modeler - Digital Innovation,6,foreign,2026-06-30,0,"Noida, Uttar Pradesh, India",,oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/89991
WSP USA,Architect - Design,6,foreign,2026-06-30,0,"Bengaluru, Karnataka, India",,oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/90003
AECOM,BIM & Digital Specialist,6,foreign,2026-06-29,1,"Madrid, es",,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134802749
AECOM,Coordinador/a BIM MEP,6,foreign,2026-06-29,1,"Barcelona, es",,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134764360
AECOM,BIM Manager - Nuclear,6,foreign,2026-06-29,1,"Warrington, gb",,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134744069
AECOM,BIM Manager - Energy,6,foreign,2026-06-29,1,"Glasgow, gb",,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134743959
AECOM,BIM Manager - Energy,6,foreign,2026-06-29,1,"Edinburgh, gb",,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134742575
AECOM,BIM Manager,6,foreign,2026-06-29,1,"Riyadh, SA, sa",,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134739769
AECOM,Chief BIM Modeller - Highways,6,foreign,2026-06-29,1,"Centurion, 263A WEST AVENUE, za",,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134728599
AECOM,Deputy Designer - BIM Electrical,6,foreign,2026-06-29,1,"Gurugram, HARYANA, in",,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134714267
AECOM,Assistant Landscape Architect - Architecture,6,foreign,2026-06-29,1,"Gurugram, HARYANA, in",,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134703690
AECOM,"Project BIM Modeler, M&E",6,foreign,2026-06-29,1,"Bukit Damansara, my",,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134683821
WSP USA,"Engineering Drafter/Designer, Nuclear",6,foreign,2026-06-29,1,"Toronto, ON, Canada",,oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/89697
WSP USA,"Early Professional, Transmission Line Engineer/Designer",6,foreign,2026-06-29,1,"Edmonton, AB, Canada",,oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/90088
AECOM,BIM Modeling Mechanical (Data Center),6,foreign,2026-06-26,4,"Bucharest, 11-15 TIPOGRAFILOR S, ro",,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134444339
AECOM,Design Engineer - Building Architect,6,foreign,2026-06-26,4,"Dubai, UAE, ae",,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134414680
AECOM,Graduate - Landscape Architect,6,foreign,2026-06-26,4,"Dubai, UAE, ae",,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134407599
WSP USA,Team Leader - BIM,6,foreign,2026-06-26,4,"Bengaluru, Karnataka, India",,oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/89647
Gensler,Architect - Junior,6,foreign,2026-06-25,5,"Santo Domingo, Dominican Republic",,workday,https://gensler.wd1.myworkdayjobs.com/job/Santo-Domingo-Dominican-Republic/Architect---Junior_R-17961
