firm,title,fitScoreFull,geo,postedDateResolved,daysAgo,locationResolved,workType,ats,url
Stantec,Architectural Designer,10,us,2026-06-29,1,"Charlottesville, VA, United States",,oracle-cloud,https://hdhl.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1006499
WSP USA,Civil & Earthworks Junior Designer,10,us,2026-06-26,4,"Reno, NV, United States",,oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/89883
WATG,Sustainability Designer II,10,us,2026-06-26,4,Los Angeles,,ultipro,https://recruiting2.ultipro.com/WAT1003WATG/JobBoard/40a8f4fc-f7d8-4099-97da-169f37ab8e95/OpportunityDetail?opportunityId=46f12284-1c59-4e83-8b8f-23962ba7757b
Stantec,Architectural Designer,10,us,2026-06-25,5,"Pittsburgh, PA, United States",,oracle-cloud,https://hdhl.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1006358
Stantec,"Entry Level Designer/Mechanical EIT - San Francisco, CA",10,us,2026-06-25,5,"San Francisco, CA, United States",,oracle-cloud,https://hdhl.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1006452
Perkins Eastman,Designer I,10,unknown,,,,HYBRID,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3747438&req_loc=1371552&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Perkins Eastman,Designer I,10,unknown,,,,HYBRID,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3748437&req_loc=1373088&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Perkins Eastman,Designer I,10,unknown,,,,HYBRID,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3742259&req_loc=1364097&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Handel Architects,Architectural Designer,10,unknown,,,,REMOTE,custom,https://handelarchitects.hua.hrsmart.com/hr/ats/Posting/view/54
Zimmer Gunsul Frasca (ZGF),Entry-Level Architect,10,unknown,,,,,custom,https://www.zgf.com/careers/p2CQ0zmZHr-entry-level-architect
Perkins Eastman,Project Designer/Project Manager Workplace and Commercial Interiors,10,unknown,,,,HYBRID,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3365037&req_loc=696741&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Perkins Eastman,Interior Designer,10,unknown,,,,REMOTE,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3725206&req_loc=1354916&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Perkins Eastman,Interior Designer - Residential Practice Area,10,unknown,,,,HYBRID,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3628798&req_loc=1211756&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Handel Architects,Interior Designer,10,unknown,,,,REMOTE,custom,https://handelarchitects.hua.hrsmart.com/hr/ats/Posting/view/38
Zimmer Gunsul Frasca (ZGF),Mid-Level Interior Designer,10,unknown,,,,,custom,https://www.zgf.com/careers/0UFKnaO40n-mid-level-interior-designer
HKS Architects,Job Captain - Mission Critical,9,us,2026-06-23,7,Atlanta,,workday,https://hksinc.wd501.myworkdayjobs.com/job/Atlanta/Job-Captain---Mission-Critical_2026-03561
Goody Clancy,Designer—Level 3 - Goody Clancy,8,unknown,2026-06-29,1,,HYBRID,custom,https://www.goodyclancy.com/career/designer-level-3/
EwingCole,Project Architect,8,us,2026-06-29,1,"Philadelphia, PA, US",HYBRID,paylocity,https://recruiting.paylocity.com/Recruiting/Jobs/Details/4289803
WATG,Designer - Interiors,8,us,2026-06-26,4,New York,,ultipro,https://recruiting2.ultipro.com/WAT1003WATG/JobBoard/40a8f4fc-f7d8-4099-97da-169f37ab8e95/OpportunityDetail?opportunityId=8819573c-4ddf-4f74-9d32-63c615e1bfd3
EwingCole,Quality Assurance Architect,8,us,2026-06-26,4,"Philadelphia, PA, US",HYBRID,paylocity,https://recruiting.paylocity.com/Recruiting/Jobs/Details/4285976
Stantec,Interior Designer - Buildings Government Services,8,us,2026-06-24,6,"Arlington, VA, United States",,oracle-cloud,https://hdhl.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1006444
WATG,Intermediate Designer,8,us,2026-06-24,6,Los Angeles,,ultipro,https://recruiting2.ultipro.com/WAT1003WATG/JobBoard/40a8f4fc-f7d8-4099-97da-169f37ab8e95/OpportunityDetail?opportunityId=b70556f0-1366-4279-8a20-e6b60c4bc95b
Gensler,Interior Designer - Mid Level,8,us,2026-06-23,7,"San Antonio, TX, US",,workday,https://gensler.wd1.myworkdayjobs.com/job/San-Antonio-TX-US/Interior-Designer---Mid-Level_R-17944
Stantec,Mechanical Project Designer,8,us,2026-06-23,7,"Chicago, IL, United States",,oracle-cloud,https://hdhl.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1006420
NBBJ,"Healthcare Project Architect Boston, Massachusetts",8,us,2026-06-23,7,"Boston, Massachusetts, United States",,jobvite,https://jobs.jobvite.com/nbbj/job/o8OnAfwD
HOK,Interiors - Interior Designer,8,unknown,,,,,dayforce,https://jobs.dayforcehcm.com/en-US/hok/CANDIDATEPORTAL/jobs/3565
CetraRuddy Architecture,I3 | Interior Designer,8,us,,,"New York, New York",,bamboohr,https://cetraruddy.bamboohr.com/careers/56
CetraRuddy Architecture,I4 | Interior Designer,8,us,,,"New York, New York",,bamboohr,https://cetraruddy.bamboohr.com/careers/57
LMN Architects,Interior Designer,8,unknown,,,,,custom,https://lmnarchitects.com/careers#op-698219-interior-designer
Perkins Eastman,Designer II,8,unknown,,,,HYBRID,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3747450&req_loc=1371547&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Perkins Eastman,Designer II,8,unknown,,,,HYBRID,hrmdirect,http://perkinseastman.hrmdirect.com/employment/job-opening.php?req=3742485&req_loc=1364135&&cust_sort1=121226&cust_sort2=70953&&jbsrc=1025#job
Handel Architects,Designer,8,unknown,,,,REMOTE,custom,https://handelarchitects.hua.hrsmart.com/hr/ats/Posting/view/53
Handel Architects,Project Architect/Designer,8,unknown,,,,REMOTE,custom,https://handelarchitects.hua.hrsmart.com/hr/ats/Posting/view/52
